"id","nom","latitude","longitude","population","superficie","prefecture_id"
"63","Danyi 2",NULL,NULL,NULL,NULL,"24"
"64","Est-Mono 1",NULL,NULL,NULL,NULL,"25"
"65","Est-Mono 2",NULL,NULL,NULL,NULL,"25"
"66","Est-Mono 3",NULL,NULL,NULL,NULL,"25"
"67","Haho 1",NULL,NULL,NULL,NULL,"26"
"68","Haho 2",NULL,NULL,NULL,NULL,"26"
"69","Haho 3",NULL,NULL,NULL,NULL,"26"
"70","Haho 4",NULL,NULL,NULL,NULL,"26"
"71","Kloto 1",NULL,NULL,NULL,NULL,"27"
"72","Kloto 2",NULL,NULL,NULL,NULL,"27"
"73","Kloto 3",NULL,NULL,NULL,NULL,"27"
"74","Kpélé 1",NULL,NULL,NULL,NULL,"28"
"75","Kpélé 2",NULL,NULL,NULL,NULL,"28"
"76","Moyen-Mono 1",NULL,NULL,NULL,NULL,"29"
"77","Moyen-Mono 2",NULL,NULL,NULL,NULL,"29"
"78","Ogou 1",NULL,NULL,NULL,NULL,"30"
"79","Ogou 2",NULL,NULL,NULL,NULL,"30"
"80","Ogou 3",NULL,NULL,NULL,NULL,"30"
"81","Ogou 4",NULL,NULL,NULL,NULL,"30"
"82","Wawa 1",NULL,NULL,NULL,NULL,"31"
"83","Wawa 2",NULL,NULL,NULL,NULL,"31"
"84","Wawa 3",NULL,NULL,NULL,NULL,"31"
"85","Agoè-Nyivé 1",NULL,NULL,NULL,NULL,"32"
"86","Agoè-Nyivé 2",NULL,NULL,NULL,NULL,"32"
"87","Agoè-Nyivé 3",NULL,NULL,NULL,NULL,"32"
"88","Agoè-Nyivé 4",NULL,NULL,NULL,NULL,"32"
"89","Agoè-Nyivé 5",NULL,NULL,NULL,NULL,"32"
"90","Agoè-Nyivé 6",NULL,NULL,NULL,NULL,"32"
"91","Avé 1",NULL,NULL,NULL,NULL,"33"
"92","Avé 2",NULL,NULL,NULL,NULL,"33"
"93","Bas-Mono 1",NULL,NULL,NULL,NULL,"34"
"94","Bas-Mono 2",NULL,NULL,NULL,NULL,"34"
"95","Golfe 1",NULL,NULL,NULL,NULL,"35"
"96","Golfe 2",NULL,NULL,NULL,NULL,"35"
"97","Golfe 3",NULL,NULL,NULL,NULL,"35"
"98","Golfe 4",NULL,NULL,NULL,NULL,"35"
"99","Golfe 5",NULL,NULL,NULL,NULL,"35"
"100","Golfe 6",NULL,NULL,NULL,NULL,"35"
"101","Golfe 7",NULL,NULL,NULL,NULL,"35"
"102","Lacs 1",NULL,NULL,NULL,NULL,"36"
"103","Lacs 2",NULL,NULL,NULL,NULL,"36"
"104","Lacs 3",NULL,NULL,NULL,NULL,"36"
"105","Lacs 4",NULL,NULL,NULL,NULL,"36"
"106","Vo 1",NULL,NULL,NULL,NULL,"37"
"107","Vo 2",NULL,NULL,NULL,NULL,"37"
"108","Vo 3",NULL,NULL,NULL,NULL,"37"
"109","Vo 4",NULL,NULL,NULL,NULL,"37"
"110","Yoto 1",NULL,NULL,NULL,NULL,"38"
"111","Yoto 2",NULL,NULL,NULL,NULL,"38"
"112","Yoto 3",NULL,NULL,NULL,NULL,"38"
"113","Zio 1",NULL,NULL,NULL,NULL,"39"
"114","Zio 2",NULL,NULL,NULL,NULL,"39"
"115","Zio 3",NULL,NULL,NULL,NULL,"39"
"116","Zio 4",NULL,NULL,NULL,NULL,"39"
"117","Amou 3",NULL,NULL,NULL,NULL,"22"
